,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
363,Puerto Rico,2016,3384760,3143116,216969,21196,3479,Alabama,49
364,Alabama,2017,4819343,4158224,535649,111803,13667,Alabama,0
365,Alaska,2017,730874,595804,98168,30199,6703,Alabama,942
366,Arizona,2017,6935358,5717189,911120,261727,45322,Alabama,1337
367,Arkansas,2017,2968395,2509717,370309,79411,8958,Alabama,574
368,California,2017,39085984,34009331,4234770,523131,318752,Alabama,3715
369,Colorado,2017,5542282,4546729,734182,226933,34438,Alabama,3120
370,Connecticut,2017,3556297,3136666,311726,83325,24580,Alabama,206
371,Delaware,2017,952449,830905,78998,38532,4014,Alabama,506
372,District of Columbia ,2017,684810,554225,64013,56231,10341,Alabama,494
373,Florida,2017,20772371,17554348,2402381,566476,249166,Alabama,9389
374,Georgia,2017,10299497,8760762,1202587,278889,57259,Alabama,15270
375,Hawaii,2017,1410750,1231340,115683,46457,17270,Alabama,844
376,Idaho,2017,1694182,1405344,210310,71899,6629,Alabama,58
377,Illinois,2017,12659328,11026895,1365922,195092,71419,Alabama,1682
378,Indiana,2017,6591598,5633171,792487,142290,23650,Alabama,1216
379,Iowa,2017,3106880,2654666,362905,77072,12237,Alabama,817
380,Kansas,2017,2876925,2413141,366147,86154,11483,Alabama,276
381,Kentucky,2017,4404279,3721100,563721,103985,15473,Alabama,2851
382,Louisiana,2017,4629962,4030674,513676,72836,12776,Alabama,2830
383,Maine,2017,1322591,1140136,144186,34252,4017,Alabama,246
384,Maryland,2017,5988007,5168350,605885,165654,48118,Alabama,644
385,Massachusetts,2017,6789798,5888011,677835,146299,77653,Alabama,212
386,Michigan,2017,9851330,8450559,1203536,148787,48448,Alabama,3669
387,Minnesota,2017,5510902,4728748,643272,115623,23259,Alabama,491
388,Mississippi,2017,2946971,2553271,313673,73549,6478,Alabama,5936
389,Missouri,2017,6039877,5108238,742205,164957,24477,Alabama,2518
390,Montana,2017,1039170,883342,116400,35456,3972,Alabama,301
391,Nebraska,2017,1894217,1586729,243792,52507,11189,Alabama,420
392,Nevada,2017,2963456,2430163,383067,133074,17152,Alabama,191
393,New Hampshire,2017,1330742,1134244,137212,52893,6393,Alabama,109
394,New Jersey,2017,8910191,7968039,710807,152106,79239,Alabama,169
